"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 21:10:14 GMT 2025","Fri May 02 21:10:23 GMT 2025","9065","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersBySexIncorrectParameterValue","Get 400 status code when try to get users by sex=male - API Test","Verifies status code and response when try to get users by sex=male"
"failed","Fri May 02 21:07:31 GMT 2025","Fri May 02 21:07:40 GMT 2025","9057","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithUnavailableZipCode","Try to upload two users, when Zip code is unavailable for one user - API Test","Gets 424 status code and verifies response"
"passed","Fri May 02 21:09:47 GMT 2025","Fri May 02 21:09:56 GMT 2025","9063","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersOlderThanAndYoungerThanAge","Get 409 status code when try to get users by two parameters of Age - API Test","Verifies status code and response"
"failed","Fri May 02 21:12:57 GMT 2025","Fri May 02 21:13:07 GMT 2025","9048","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenSexIsMissed","Try to update a user, when Sex is missed in userNewValues - API Test","Gets 409 status code and verifies initial user is not updated"
"failed","Fri May 02 21:10:23 GMT 2025","Fri May 02 21:10:33 GMT 2025","9140","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersYoungerThanAgeWhenParameterOnBorderOrIncorrect","Get Users younger than border or incorrect parameters - API Test","Tries to get created users younger than parameter and verifies status code and response"
"failed","Fri May 02 21:07:58 GMT 2025","Fri May 02 21:08:07 GMT 2025","9054","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereOneWithoutName","Try to upload two users, when one is with no Name - API Test","Gets 409 status code and verifies response"
"passed","Fri May 02 21:02:41 GMT 2025","Fri May 02 21:02:50 GMT 2025","9191","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addDuplicatedAlreadyUsedZipCodes","Add duplicated already used Zip codes - API Test","Verifies status code and response"
"failed","Fri May 02 21:13:52 GMT 2025","Fri May 02 21:14:01 GMT 2025","9043","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithEmptyBodyRequest","Get 409 status code when try to delete user, provided empty body request - API Test","Verifies the status code and response when sends DELETE request with an empty body"
"failed","Fri May 02 21:03:35 GMT 2025","Fri May 02 21:03:44 GMT 2025","9077","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenChangeTheFieldsOrder","Create User when change fields order in the request - API Test","Creates a user and verifies the user is created when change the fields order inside request"
"failed","Fri May 02 21:04:57 GMT 2025","Fri May 02 21:05:06 GMT 2025","9069","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithoutAge","Upload a user with no Age - API Test","Uploads a user and verifies status code and response"
"failed","Fri May 02 21:14:37 GMT 2025","Fri May 02 21:14:46 GMT 2025","9044","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingName","Get 409 status code when try to delete user, Name is missed in request - API Test","Verifies the status code and response when sends DELETE request with no Name"
"failed","Fri May 02 21:13:25 GMT 2025","Fri May 02 21:13:34 GMT 2025","9043","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateNonExistingUser","Try to update a user, when userToChange does not exist - API Test","Gets 400 status code and verifies the body"
