"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Gets 424 status code and verifies response","9078","Try to upload a user, when Zip code is incorrect - API Test","","Wed Apr 30 17:10:18 UTC 2025","failed","Wed Apr 30 17:10:27 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithIncorrectZipCode"
"Verifies status code and response","9097","Get 409 status code when try to get users by two parameters of Age - API Test","","Wed Apr 30 17:11:59 UTC 2025","passed","Wed Apr 30 17:12:08 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersOlderThanAndYoungerThanAge"
"Uploads a user and verifies status code and response","9080","Upload a user - API Test","","Wed Apr 30 17:10:46 UTC 2025","passed","Wed Apr 30 17:10:55 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUser"
"Creates a user and verifies status code and response","9119","Create User - API Test","","Wed Apr 30 17:06:40 UTC 2025","failed","Wed Apr 30 17:06:49 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUser"
"Tries to get created users older than parameter and verifies status code and response","9326","Get Users older than border or incorrect parameters - API Test","","Wed Apr 30 17:11:13 UTC 2025","failed","Wed Apr 30 17:11:22 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersOlderThanAgeWhenParameterOnBorderOrIncorrect"
"Deletes a user (only required fields are sent) and verifies status code and response","9106","Delete User when only required fields are provided in the request - API Test","","Wed Apr 30 17:15:46 UTC 2025","failed","Wed Apr 30 17:15:55 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithOnlyRequiredFields"
"","1","testGetCredentials()","","Wed Apr 30 17:15:46 UTC 2025","passed","Wed Apr 30 17:15:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DataTest","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetCredentials"
"Updates a user and verifies status code and response","9070","Update User's all values - API Test","","Wed Apr 30 17:15:19 UTC 2025","failed","Wed Apr 30 17:15:28 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserAllValues"
"","0","testGetZipCodesExpandURL()","","Wed Apr 30 17:15:46 UTC 2025","passed","Wed Apr 30 17:15:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DataTest","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetZipCodesExpandURL"
"Updates a user and verifies status code and response","9057","Update User's Name, age and zip code are missed in userNewValues - API Test","","Wed Apr 30 17:18:20 UTC 2025","failed","Wed Apr 30 17:18:29 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateName"
"","0","testGet()","","Wed Apr 30 17:15:46 UTC 2025","passed","Wed Apr 30 17:15:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DataTest","com.coherentsolutions.java.restapi.testing.test.DataTest","testGet"
"Deletes a specified user and verifies status code and response","9080","Delete User - API Test","","Wed Apr 30 17:16:40 UTC 2025","failed","Wed Apr 30 17:16:49 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUser"
